S.No,Query,User,Input Sentiment,User Information Need,User Evaluation Criteria,link,Context Class,Relevance Score,Comments
2,Is Obama care good?,User 1,Positive,User wants to know the benefits of Obama care and check if it is affordable compared to other care plans.,"Relevant: Documents talking about the pros of Obama care, mainly focusing on it's affordability.

Irrelevant: Documents containing when Obama care will be passed, steps to sign up, etc.",https://www.ehealthinsurance.com/resources/affordable-care-act/aca-obamacare-subsidies,Positive,0,The document mentions about tax subsidies and the eligibility to sign in for the insurance plan
,,,,,,https://blog.healthsherpa.com/how-much-obamacare-cost/,Positive,1,The document mentions the cost of obama care.
,,,,,,https://healthcareinsider.com/massachusetts-health-insurance-37015,Positive,0,The content of this document is about general health insurance plans in massachusetts
,,,,,,https://truthout.org/articles/obamacare-the-biggest-insurance-scam-in-history/,Negative,0,The document talks about obama care being the biggest insurance scam which is irrelevant to the user.
,,,,,,https://www.healthline.com/health/consumer-healthcare-guide/pros-and-cons-obamacare,Positive,1,Contains detailed pros of obamacare
,,,,,,https://www.healthline.com/health-news/do-doctors-loathe-obamacare-041415,Negative,0,The document talks only about how all healthcare professionals hate obama care.
,,,,,,https://obamawhitehouse.archives.gov/blog/2014/02/06/six-economic-benefits-affordable-care-act ,Positive,1,contains discussion on how obama care is affordable for the user and how the user is benefitted by using obamacare
,,,,,,https://www.buffalo.edu/news/releases/2013/10/002.html,Negative,1,The document says that obama care will be of least benefit for the poor people.
,,,,,,https://www.verywellhealth.com/whats-the-difference-between-medicaid-obamacare-1738843,Positive,0,Mentions difference between medicaid and obamacare which is irrelevant for the user.
3,Bypass surgery in America,User 1,Positive,User wants to know the list of hospitals that specializes in Bypass surgery.,"Relevant: Documents mentioning the list of hospials, contact details of the Bypass surgery departments.

Irrelevant: Documents containing best bypass surgery surgeons, discussing pros and cons of bypass surgery, survival rates, etc.",https://www.upmc.com/services/heart-vascular/services/heart-surgery?utm_mrid=mrid0696&utm_source=GOOGLE&utm_medium=cpc&utm_campaign=71700000037477414&utm_adgroup=58700004162342949&utm_term=heart+surgery+hospital&utm_advertiserid=700000001754539&gclid=Cj0KCQjwpcOTBhCZARIsAEAYLuXHSPiKEfQXSLhveeAJV6eSxOQF_oTcLmn5xUqb4C_ktNyT1S81Mz4aAplGEALw_wcB&gclsrc=aw.ds,Positive,1,Contains information regarding the procedure and information regarding the bypass process in the organization.
,,,,,,https://www.sentara.com/medicalservices/services/heart-and-vascular.aspx?utm_source=eruptr&utm_medium=cpc&cr=woodbridge_heart&utm_campaign=woodbridge_heart&gclid=Cj0KCQjwpcOTBhCZARIsAEAYLuVLh5j9g8lt5iPdlsd2s-CFpiqma_2TlPLStNL7tenpY7OIWfDKKsgaAg59EALw_wcB,Positive,1,Contains information regarding the operation and the procedure to book an appointment for the bypass surgery.
,,,,,,https://www.speedysearchresults.com/web?q=cost%20for%20bypass%20surgery&kwid=cost%20for%20bypass%20surgery&cid=557159152275&site=&gclid=Cj0KCQjwpcOTBhCZARIsAEAYLuVTzL3XmlACpYw3puqr-TREv7CN4HQZ5Yiubf5dUE-A3bPW1yNvYy4aAglpEALw_wcB&qsrc=999&qo=semQuery&ad=semD&o=1517257&l=sem&askid=0731200e-ca38-47d8-bd9f-7422fa354bc7-0-se_gsb&dqi=&ag=fw81&am=broad&an=google_s,Positive,0,This document contains information regarding the cost for the surgery.
,,,,,,https://www.webmd.com/heart-disease/heart-disease-bypass-surgery,Positive,0,Contains information regarding the purpose and how the bypass surgery is done.
,,,,,,https://www.beckershospitalreview.com/cardiology/10-best-hospitals-for-cardiology-ranked-by-us-news.html,Positive,1,Link provides in information regarding top 10 best cardiology based hospitals in US.
,,,,,,https://www.cedars-sinai.org/programs/heart/clinical/cardiac-surgery.html?s_kwid=&gclid=Cj0KCQjwpcOTBhCZARIsAEAYLuWdwLASk3ALD4ULL4_9n4ei7xLgkhNRXCzMnViiaWbRRPJ5KccEqOAaAiJfEALw_wcB&gclsrc=aw.ds,Positive,0,Rel (Positive)-Provides information regarding the surgery and the procedure for it.
,,,,,,https://www.loyolamedicine.org/find-a-condition-or-service/heart-and-vascular/heart-vascular-treatments/coronary-artery-bypass-graft-surgery,Positive,0,Provides information regarding the surgery and the procedure for it.
,,,,,,https://www.newsweek.com/worlds-best-specialized-hospitals-2021,Positive,0,Contains information regarding the best hospitals in the world that are specialised in Cardio Vascular surgery.
,,,,,,https://www.sentara.com/healthwellness/data/patient-stories/roger-newill-heart-bypass-cardiac-rehab-hampton-roads.aspx,Positive,0,Contains an article regarding the experience of a patient after Bypass surgery.
,,,,,,https://www.upmc.com/services/heart-vascular/upmc-difference/patient-stories/jim-julian,Positive,0,Contains information regarding an patient’s story on Bypass Surgery.
4,Review of Good Doctors,User 1,Positive,User wants to know the reviews on the 'Good Doctors' television series.,"Relevant: Documents containing blog posts or rating comments mentioning the 'Good Doctors' TV series.

Irrelevant: Documents mentioning best doctors in respective area/fields.",https://www.rottentomatoes.com/tv/the_good_doctor/s01,Positive,1,Provides the user/critics review of the good doctor series.
,,,,,,https://www.imdb.com/title/tt6470478/,Positive,1,Provides the critics review as mentioned in the Relevance criteria.
,,,,,,https://www.commonsensemedia.org/tv-reviews/the-good-doctor,Positive,1,Provides the media and community review for the TV show.
,,,,,,https://eatsleepwander.com/positive-doctor-review-examples/,Positive,0,Includes the information regarding examples on how to review the doctors.
,,,,,,https://www.healthgrades.com/,Positive,0,Website which provides healthcare services.
,,,,,,https://medium.com/@MsJayTeeRattray/there-are-no-good-doctors-on-the-good-doctor-377fc4f85e9e,Positive,1,Website which provides review for season 1
,,,,,,https://www.vitals.com/,Positive,0,Website which provides review for every doctors that we search
,,,,,,https://health.usnews.com/health-care/patient-advice/slideshows/signs-of-good-doctors,Positive,0,"Website which provides information regarding the deciding factors on whether a doctor is good or not."
,,,,,,https://alothome.com/landing?slk=physician+reputation+management&nid=1&accid=4844537548&campid=15793613180&agid=130562010174&cid=573194973260&akwd=patient%20ratings%20for%20doctors&mt=b&network=g&dist=s&adposition=&device=c&ismobile=false&devicemodel=&placement=&target=&aceid=&random=10797036410222058433&vx=0&gclid=CjwKCAjwgr6TBhAGEiwA3aVuId5q1f8aQPwC8o44bJy-RlzO0kwnHN6gYWYeyFOb2F1pFcVjJmEaDRoCy4IQAvD_BwE,Positive,0,Website that provides information regarding the customer reviews on doctors.
,,,,,,https://mydoctorsf.com/testimonials/,Positive,0,Website that enlists information regarding the testimonials about doctors.
5,vaccines causing autism spectrum disorder,User 1,Negative,User wants to know if vaccines can cause autism or ASD.,"Relevant: Documents discussing side effects of vaccines that lead to ASD or autism.

Irrelevant: Documents explaining what ASD is, general vaccine side effects.",https://www.mayoclinichealthsystem.org/hometown-health/speaking-of-health/autism-vaccine-link-debunked,Negative,1,Debunks that vaccination causing autism is a myth.
,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2908388/,Negative,1,"Provides information regarding three hypothesis on what vaccines causes autism.
"
,,,,,,https://s.healthnwell.com/serp?q=which%20shots%20cause%20autism&segment=healthnwell.g003&s1aid=6493012831&s1cid=9754812129&s1agid=99285753266&s1kid=kwd-302998631895&utm_source=adwords&gclid=Cj0KCQjwpcOTBhCZARIsAEAYLuVgtyoPJ9xRHG9JZJgvYyQJRZ_PP3QNzH2vamYvr9-v0LBnS_V0f-0aApGiEALw_wcB,Negative,1,Provides information regarding what vaccines causes autism.
,,,,,,https://www.myautism.org/what-is-autism?gclid=Cj0KCQjwpcOTBhCZARIsAEAYLuV7Oxww09YMYoD3lddHpf17ASC8VPchmNlC_LHKP-BMdRDcQHlbsH8aAkPWEALw_wcB,Negative,0,Provides information regarding what activities causes autism.
,,,,,,https://blog.ochsner.org/articles/do-vaccines-cause-autism-spectrum-disorder,Negative,1,Contains an article regarding a debate on whether vaccination causes Autism Disorder.
,,,,,,https://www.cdc.gov/vaccinesafety/concerns/autism.html,Positive,1,Provides information regarding test cases on what vaccines does not cause autism.
,,,,,,https://www.autismcenter.org/discussing-vaccines-and-autism,Positive,1,Provides information regarding a discussion on whether the autism and vaccination is related.
,,,,,,https://www.autismspeaks.org/what-causes-autism,Negative,0,Enlists reasons that causes autism and elaborates on those.
,,,,,,https://kidshealth.org/en/parents/autism-studies.html,Positive,1,Provides a discussion on whether there is a connection between Vaccines and Autism.
,,,,,,https://www.autismspeaks.org/science-news/autism-genetic-study-finds-80-risk-inherited-genes,Positive,0,Provides information regarding the factor that governs whether autism is genetic.
6,Curable cancer,User 1,Positive,User wants to know the list of curable cancers.,"Relevant: Documents containing the list of cancers that can be cured; showing stats of cured population.

Irrelevant: Documents explaining the treatments to cancers, types of cancers, nearby cancer special hospitals, etc.",https://www.webmd.com/cancer/5-curable-cancers,Positive,1,The document contains types of cancer that can be cured.
,,,,,,https://www.cancer.gov/about-cancer/understanding/statistics,Positive,1,The document contains statistics of cancer that can be cured
,,,,,,https://www.healthline.com/health/is-there-a-cure-for-cancer,Positive,0,Document’s content argues whether cancer be cured or not
,,,,,,https://www.unitypoint.org/desmoines/services-cancer-article.aspx?id=c9f17977-9947-4b66-9c0f-15076e987a5d,Negative,0,Contains information about most riskiest cancer
,,,,,,https://health.usnews.com/best-hospitals/rankings/cancer,Positive,0,The document enlists best hospitals to treat cancer
,,,,,,https://cancercontrol.cancer.gov/ocs/statistics,Positive,1,Contains graphs and  statistics on cured cancer
,,,,,,https://www.mayoclinic.org/tests-procedures/cancer-treatment/about/pac-20393344,Positive,0,The document contains detailed explanation on how to treat cancer
,,,,,,https://www.cancer.org/cancer/pancreatic-cancer/detection-diagnosis-staging/signs-and-symptoms.html,Negative,0,Lists signs and symptoms of pancreatic cancer
,,,,,,https://www.cancer.gov/about-cancer/treatment/side-effects,Negative,0,Mentions the side effects of carrying out a cancer.
,,,,,,https://www.mayoclinic.org/healthy-lifestyle/adult-health/in-depth/cancer-prevention/art-20044816,Positive,0,Document enlists cancer prevention tips
7,Cure high blood pressure in 3 mins,User 1,Positive,User wants to know how to reduce high blood pressure in 3 mins or less.,"Relevant: Blogs containing the quick remedies to high blood pressure.

Irrelevant: Blogs discussing the cause of high BP, hospitals or medicines to cure high BP.",https://www.canpharm.com/blog/high-to-low-blood-pressure-in-minutes,Positive,1,Provides information as mentioned in our Information Need on how to reduce blood pressure in 3 minutes or less.
,,,,,,https://hhma.org/how-can-i-lower-my-blood-pressure-immediately/,Positive,0,Contains methods on how to reduce blood pressure immediately within 15 minutes which is irrelevant.
,,,,,,https://www.youtube.com/watch?v=3KueabH8B8M,Positive,0,Video on how to reduce the blood pressure within 5 minutes.
,,,,,,https://www.onhealth.com/content/1/lower_blood_pressure_immediately_naturally_chart,Positive,0,Ways of life to follow to reduce blood pressure immediately and naturally.
,,,,,,https://www.honorhealth.com/healthy-living/6-best-exercises-control-high-blood-pressure,Positive,0,Contains lists of exercises to follow to control high blood pressure.
,,,,,,https://www.webmd.com/hypertension-high-blood-pressure/safe-exercise-tips,Positive,0,Contains information regarding exercises which should be done in a regular timeframe by the patients.
,,,,,,https://www.bloodpressureuk.org/your-blood-pressure/how-to-lower-your-blood-pressure/healthy-living/exercise-physical-activity/,Positive,0,Contains information regarding on how exercises and blood pressure of our body is linked.
,,,,,,https://www.pearl.com/health/cardiology?r=ppc|gaprl|76|Pearl-Health-Cardio-BMM|pearl-health-medical-bp|&JPMCC=9283418415&JPKW=%2Bblood%20%2Bpressure&JPDC=S&JPST=&JPAD=496538556232&JPMT=b&JPNW=g&JPAF=txt&JPRC=1&JPCD=&JPOP=&cmpid=12259480781&agid=120997212601&fiid=&tgtid=kwd-488378329672&ntw=g&dvc=c&gclid=Cj0KCQjwpcOTBhCZARIsAEAYLuUAhsqN2aCtV1B2y-mzwEvbe5zNUfBT9JXKAXdnttx9h0qWEPCZb2QaAiaaEALw_wcB,Positive,0,Provides online live support in case of blood pressure related issues.
,,,,,,https://my.clevelandclinic.org/health/articles/4249-hypertension-and-nutrition,Positive,0,Contains information regarding the food and the diet to follow in order to control Hypertension and Nutrition.
,,,,,,https://www.webmd.com/hypertension-high-blood-pressure/ss/slideshow-worst-foods-high-blood-pressure,Negative,0,Contains list of foods that are enlisted as worst foods by WHO for people with hypertension.
8,Robots usage in surgery,User 1,Positive,User wants to know 'how' robots are used in surgeries by the doctors.,"Relevant: Documents explaining how robots are used in different surgeries, types of robots used in surgeries.

Irrelevant: Documents mentioning where to buy these surgical robots, courses related to healthcare robotics, etc.",https://www.uclahealth.org/robotic-surgery/what-is-robotic-surgery,Positive,1,mentions about how robot surgery is being performed
,,,,,,https://online-engineering.case.edu/blog/medical-robots-making-a-difference,Positive,1,lists types of robots used in surgery
,,,,,,"https://www.westvalleysurgeons.com/blog/is-robotic-surgery-safe#:~:text=Robotic%2Dassisted%20surgery%20is%20overall,potential%20benefits%20of%20surgical%20treatment",Positive,0,contains discussion on if robot assisted surgery is safe or not and concludes by saying its safe
,,,,,,https://zaggocare.org/dangers-robotic-assisted-surgery/,Negative,0,The document mentions the dangers of robot assisted surgery
,,,,,,https://www.washingtonpost.com/news/wonk/wp/2016/07/28/expensive-robots-may-not-be-making-surgeons-or-patients-much-better/,Negative,0,The document contains information on whether using robots for surgery is advisable or not
,,,,,,https://www.slashgear.com/791502/the-coolest-robots-you-can-buy-today/,Positive,0,irrelevant as the document mentions about which robots to buy
,,,,,,https://surgical-solutions.com/blog/what-is-robotic-surgery-and-how-does-it-work/ ,Positive,1,Mentions how robotic surgery works and some of the common instruments used in robotic surgery
,,,,,,https://www.uchealth.com/services/robotic-surgery/patient-information/benefits/,Positive,0,mentions the benefits of robotic surgery
,,,,,,https://www.bbc.com/future/article/20150812-how-to-tell-a-good-robot-from-the-bad,Negative,0,The documents mentions the dangers of robots which are not relevant to the users
,,,,,,"https://business.esa.int/funding/invitation-to-tender/robotics-for-society#:~:text=Robots%20eliminate%20dangerous%20jobs%20for,also%20saving%20time%20and%20money",Positive,0,The document mentions that using robots are making society a better place.
9,AI in healthcare,User 1,Positive,User wants to know how AI is used in healthcare industry.,"Relevant: Documents/blogs mentioning the case studies of using AI in healthcare applications.

Irrelevant: Documents arguing the pros and cons of using AI in healthcare, jobs related to applied AI, etc.","https://www.foreseemed.com/artificial-intelligence-in-healthcare#:~:text=A%20common%20use%20of%20artificial,and%20better%20results%20for%20patients",Positive,1,"The documents mentions how nlp can be used in healthcare"
,,,,,,https://www.forbes.com/sites/bernardmarr/2018/07/27/how-is-ai-used-in-healthcare-5-powerful-real-world-examples-that-show-the-latest-advances/,Positive,1,Document mentions how AI is used in healthcare with 5 real-world examples
,,,,,,"https://www.healthcareitnews.com/news/emea/who-warns-about-risks-ai-healthcare#:~:text=Although%20there%20are%20many%20opportunities,%2C%20cybersecurity%2C%20and%20the%20environment",Negative,0,Document speaks about WHO warning about the risks of using AI in healthcare
,,,,,,https://drexel.edu/cci/stories/artificial-intelligence-in-medicine-pros-and-cons/,Negative,0,Document illustrates the pros and cons of using AI in healthcare
,,,,,,https://www.indeed.com/q-Healthcare-Artificial-Intelligence-jobs.html,Positive,0,"Document enlists Healthcare Artificial intelligence jobs"
,,,,,,"https://ai100.stanford.edu/2021-report/standing-questions-and-responses/sq2-what-are-most-important-advances-ai#:~:text=Underlying%20Technologies-,In%20the%20last%20five%20years%2C%20the%20field%20of%20AI%20has,and%20integration%20of%20vision%20and",Positive,0," Document Talks about most important advancements in AI"
,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7325854/ ,Positive,1,"Contains a research paper/case study on advancements of AI in healthcare"
,,,,,,https://www.allerin.com/blog/why-healthcare-is-not-ready-for-ai-yet ,Negative,0,Document argues that we should not use AI in healthcare yet.
,,,,,,"https://bernardmarr.com/is-artificial-intelligence-dangerous-6-ai-risks-everyone-should-know-about/#:~:text=Outside%20of%20preparing%20for%20a,some%20key%20AI%2Drelated%20risks.&text=AI%20programmed%20to%20do%20something,way%20AI%20can%20pose%20risks",Negative,0,Document talks about AI being dangerous 
,,,,,,https://www.simplilearn.com/tutorials/artificial-intelligence-tutorial/artificial-intelligence-applications,Positive,0, Lists applications of Artificial Intelligence in general
10,Insurance fraud in healthcare,User 2,Negative,User want the documents that gives the names of the companies that were involved in health care related insurance fraud ,"Relevant : The names of the companies that were involved in insurance scams related to health care industry.

Irrelavant:  All other companies involved in other industry scams are considered as irrelavant.",https://www.forbes.com/advisor/health-insurance/best-health-insurance-companies/,Positive,0,"contains list of trusted healthcare companies, their ratings and customer feedback"
,,,,,,https://www.fbi.gov/scams-and-safety/common-scams-and-crimes/health-care-fraud,Negative,0,document talks about scams in the healthcare insurance industry
,,,,,,https://www.valuepenguin.com/best-health-insurance-companies,Positive,0,contains list of trusted healthcare companies in the current year
,,,,,,https://www.investopedia.com/best-health-insurance-companies-4775920,Positive,0,contains list of trusted healthcare companies in the current year and best plans are mentioned as comparison
,,,,,,https://www.thebalance.com/best-health-insurance-companies-4174511,Positive,0,contains list of trusted healthcare companies in the current year
,,,,,,https://www.fbi.gov/scams-and-safety/common-scams-and-crimes,Negative,0,fbi report on variety of fraud cases that are not healthcare
,,,,,,https://www.moneygeek.com/insurance/health/resources/protecting-against-fraud/,Positive,1,"document contains list of healthcare insurance companies involved in fraudulent activities and talks about avoiding insurance frauds, tips and guidance"
,,,,,,https://www.helpstopfraud.org/Types-of-Insurance-Fraud/Health,Positive,1,"document list of healthcare insurance companies involved in fraudulent activities and talks about avoiding insurance frauds, helpline and recovery"
,,,,,,https://www.atlanta-criminal-law.com/blog/2020/october/the-3-main-types-of-fraud/,Negative,0,document talks about common scams and fraudulent activities
,,,,,,https://www.rocklandtrust.com/learning-center/business-resources/8-ways-to-protect-yourself-from-fraud,Positive,0,documents provides safety measures against scams and frauds but it is not related to healthcare insurance
11,Current healthcare advancements ,User 2,Positive,User wants to know the advancements and innovations done in the field of medicine and how they have helped to improve the healthcare industry.,"Relevant :  Documents mentioning the progress and advancements in present day that has been made in the healthcare industry.

Irrelavant: Other documents that mentions the developments that are still in development or testing phase but proving to be a big breakthrough in the industry. ",https://www.medicaltechnologyschools.com/medical-lab-technician/top-new-health-technologies,Positive,0,"Mentions future technologies that will be included in 2022 "
,,,,,,"https://www.aamc.org/news-insights/8-medical-advances-you-may-have-missed-during-covid-19",Positive,1,"Mentions technologies that has been introduced in the present time frame"
,,,,,,https://www.proclinical.com/blogs/2022-4/top-10-new-medical-technologies-2022,Positive,1,Mentions about the technologies that have been introduced and are being used and developed for the present time frame.
,,,,,,"https://www.galendata.com/disadvantages-of-technology-in-healthcare/",Negative,0,"Mentions about the disadvantages of future technologies in the healthcare field."
,,,,,,"https://onlinenursing.duq.edu/blog/important-trends-in-healthcare/",Positive,0,"Mentions about the growth trends followed in healthcare"
,,,,,,"https://evisit.com/resources/10-pros-and-cons-of-telemedicine/",Positive,1,"Includes details regarding the pros and cons of telemedicine in the healthcare sector. This tells about more advancements
"
,,,,,,https://mobidev.biz/blog/technology-trends-healthcare-digital-transformation,Positive,1,Contains information regarding how the modern technologies have been put to use in the current timeframe.
,,,,,,https://www.carevoyance.com/blog/medical-technology-advances-100-years,Positive,0,Contains information regarding the future technologies which are being researched on.
,,,,,,"https://www.elcom.com.au/resources/blog/the-impact-of-technology-in-healthcare-trends-benefits-examples",Positive,1,Contains information regarding how the technology that has become to a stable use has been used in the healthcare sector.
,,,,,,"https://www.ahrq.gov/sites/default/files/wysiwyg/research/findings/nhqrdr/2019qdr.pdf",Positive,0,"Provides a report regarding the healthcare quality.
"
12,Review of good doctors,User 2,Positive,User is looking to get the review for the best doctors near his location for a medical consultation,"Relevant : The list of doctors having the best rating and reviews in the surrounding area where the user is residing is considered the most relevant documents.

Irrelavant : Any other information like a series name or documents showing review of doctors not in the vicinity of the user.",https://www.rottentomatoes.com/tv/the_good_doctor/s01,Positive,0,Provides the user/critics review of the good doctor series.
,,,,,,https://www.imdb.com/title/tt6470478/,Positive,0,Provides the critics review as mentioned in the Relevance criteria.
,,,,,,https://www.commonsensemedia.org/tv-reviews/the-good-doctor,Positive,0,Provides the media and community review for the TV show.
,,,,,,https://eatsleepwander.com/positive-doctor-review-examples/,Positive,0,Includes the information regarding examples on how to review the doctors.
,,,,,,https://www.healthgrades.com/,Positive,1,Website which provides healthcare services.
,,,,,,https://medium.com/@MsJayTeeRattray/there-are-no-good-doctors-on-the-good-doctor-377fc4f85e9e,Positive,0,Website which provides review for season 1
,,,,,,https://www.vitals.com/,Positive,1,Website which provides review for every doctors that we search
,,,,,,https://health.usnews.com/health-care/patient-advice/slideshows/signs-of-good-doctors,Positive,0,"Website which provides information regarding the deciding factors on whether a doctor is good or not."
,,,,,,https://alothome.com/landing?slk=physician+reputation+management&nid=1&accid=4844537548&campid=15793613180&agid=130562010174&cid=573194973260&akwd=patient%20ratings%20for%20doctors&mt=b&network=g&dist=s&adposition=&device=c&ismobile=false&devicemodel=&placement=&target=&aceid=&random=10797036410222058433&vx=0&gclid=CjwKCAjwgr6TBhAGEiwA3aVuId5q1f8aQPwC8o44bJy-RlzO0kwnHN6gYWYeyFOb2F1pFcVjJmEaDRoCy4IQAvD_BwE,Positive,1,Website that provides information regarding the customer reviews on doctors.
,,,,,,https://mydoctorsf.com/testimonials/,Positive,1,Website that enlists information regarding the testimonials about doctors.
13,Crytocurrency in health care payment system,User 2,Positive,User is looking for hospitals that accepts payment for the medical bill using crytocurrency and the types of crytocurrencies that are accepted. ,"Relevant : Documents that mentions the availability of cryto - based payments in the hospitals and the steps involved in making the payment.

Irrelevant :  Any documents related to general information regarding the cryptocurrency and other irrelavent informations.",https://www.healthcareoutlook.net/top-hospitals-using-cryptocurrencies-for-payment/,Positive,1,This document provides the list of  the top hospitals that are accepting payments in Cryptocurrencies.
,,,,,,http://aveonhealth.com/patient-information/make-a-payment/we-accept-bitcoin/ ,Positive,1,This document mentions the crypto currency payment system that is present in AveonHeath center.
,,,,,,https://www.euronews.com/next/2021/12/04/paying-with-cryptocurrencies-these-are-the-major-companies-that-accept-cryptos-as-payment ,Positive,0,This documents presents an article which mentions the major companies that accept the cryptocurrencies.
,,,,,,https://omnicomhealthgroup.com/pdfs/Cryptocurrency-in-Healthcare.pdf ,Positive,1," Discuss about the cryptocurrencies that are used and accepted in the hospitals run by omnicom health groups."
,,,,,,https://apexedi.com/how-blockchain-will-affect-the-medical-billing-industry/,Negative,0,"The document speaks about how blockchain technology will be a demerit if implemented in healthcare. This is completely irrelevant and against the sentiment of the query."
,,,,,,https://fortune.com/2022/05/03/massachusetts-health-care-costs-hospital-expansion/,Negative,0,"This document mentions blocking of the hospital expansion instead of the needed topic on cryptocurrency. "
,,,,,,https://www.statnews.com/2018/02/01/clinics-bitcoin-payment-physician/ ,Positive,1,This document talks about the use of cryptocurrencies being used in some clinics but doesn’t specify exactly the name of the institution
,,,,,,https://www.fool.com/the-ascent/cryptocurrency/articles/5-cryptocurrencies-that-have-failed-and-why/,Negative,0,The document talks about cryptocurrencies but not related to health care and just list the failed cryptocurrencies. 
,,,,,,https://clutch.co/it-services/resources/cryptocurrency-favors-medical-billing-services,Positive,0,his document mentions the benefits of using cryptocurrencies for medical billing services.
,,,,,,https://techonomy.com/cryptos-terrible-horrible-no-good-bad-week/,Negative,0,"The document is negatively portraying the use of crypto currencies in healthcare"
14,Propofol overdose,User 2,Positive,User wants to know the allowed intake level of Propofol beyond which would result in overdose ,"Relevant: Documents that mentions the allowed intake level of Propofol as per medical standards.

Irrelevant: Information that are unrelated like the composition of Propofol, deaths by propofol overdose etc.",https://www.everydayhealth.com/drugs/propofol,Positive,1,The document shows an allowed level of Propofol that is advisable.
,,,,,,https://www.cnn.com/2011/10/28/justice/california-conrad-murray-trial/index.html,Negative,0,The document shows an investigation about the death of Michael Jackson caused by Propofol overdose.
,,,,,,https://www.medicines.org.uk/emc/product/11295/smpc,Positive,1,Contains information about the dosage of Propofol that is advisable
,,,,,,https://www.everydayhealth.com/pain-management-pictures/six-celebrities-who-have-died-from-painkiller-ods.aspx,Negative,0,Contains the list of celebrities who died cause of propofol consumption.
,,,,,,https://www.ncbi.nlm.nih.gov/books/NBK430884/,Positive,1,"Contains information about Propofol drug, its usage etc."
,,,,,,https://observer.com/2016/06/these-are-the-legal-prescription-drugs-that-have-killed-your-favorite-stars/,Negative,0,Contains information regarding the death of celebrities because of various drug overdose and not specific to propofol.
,,,,,,https://novodetox.com/how-did-michael-jackson-die/,Negative,0,Contains information regarding the death of Micheal Jackson because of propofol overdose.
,,,,,,https://www.drugs.com/dosage/propofol.html,Positive,1,The document shows an allowed level of Propofol that is advisable.
,,,,,,https://www.sltrib.com/news/2019/06/23/u-u-psychiatrist-is/,Negative,0,Contains information regarding the death of Michael Jackson and how Propofol overdose caused it.
,,,,,,https://www.uchicagomedicine.org/forefront/research-and-discoveries-articles/propofol-a-dangerous-kind-of-rest,Negative,1,Contains a research article on why the Propofol intake is a risk for people to take.
15,Morphine for Pain,User 2,Positive,User wants to know if Morphine can be used to reduce the pain caused by sprain,"Relevant: Documents that give information about morphine legally being used as a painkiller.

Irrelevant: Documents that tell about the morphine medical composition, its side effects, illegal use are irrelevant to the information need.","https://medlineplus.gov/druginfo/meds/a601161.html#:~:text=Morphine%20injection%20is%20used%20to,nervous%20system%20respond%20to%20pain.",Positive,0,The document is a brief explanation of what Morphine is and what it is composed of in medical terms
,,,,,,https://www.mayoclinic.org/drugs-supplements/morphine-oral-route/description/drg-20074216,Positive,1,"The document is relevant because it tells that Morphine can be used to reduce pain and why it does so."
,,,,,,https://medlineplus.gov/druginfo/meds/a682133.html ,Positive,0,The document consists of the medical composition of Morphine and the dosage instructions to take it
,,,,,,https://www.webmd.com/drugs/2/drug-327-819/morphine-oral/morphine-oral/details,Negative,1,The document is relevant because it tells that Morphine can be used to reduce pain but mostly deals with the side effects of its frequent intake.
,,,,,,https://www.cancerresearchuk.org/about-cancer/cancer-in-general/treatment/cancer-drugs/drugs/morphine,Positive,1,"he document is relevant because it tells that Morphine can be used to reduce pain and the dosage instructions to have it."
